"Process_ID","N","SEED","ATE","SE","SEB","Lower","Upper","Cover","Time_Point","Time_CI"
0,1000,1,-0.0010203193483978,0.0694949461927161,0.07166425940136,-0.137230413886121,0.135189775189326,1,109.406832933426,3.67164611816406e-05
1000,2000,334,0.0509170681369841,0.0474868333337914,0.048803423988994,-0.0421571251972471,0.143991261471215,1,333.471516370773,6.31809234619141e-05
1001,4000,334,0.0536715672787321,0.0336845479751285,0.0337300702728431,-0.0123501467525198,0.119693281309984,1,920.798090934753,9.08374786376953e-05
1002,1000,335,0.0775487277042825,0.073577125029973,0.0698502312786122,-0.0666624373544646,0.22175989276303,1,195.623116016388,4.38690185546875e-05
1003,2000,335,0.0303359550544973,0.046730757780397,0.0467200362124643,-0.0612563301950809,0.121928240304076,1,450.594661235809,9.03606414794922e-05
1004,4000,335,0.0537802547271529,0.0322208826440609,0.0332766225057416,-0.00937267525520646,0.116933184709512,1,997.552938938141,7.39097595214844e-05
1005,1000,336,-0.18129323644707,0.0760495172388657,0.07190770251657,-0.330350290235247,-0.0322361826588929,0,218.129599809647,8.13007354736328e-05
1006,2000,336,0.0361803940355968,0.0466531162495556,0.0472574007106236,-0.055259713813532,0.127620501884726,1,302.505528926849,5.7220458984375e-05
1007,4000,336,0.0644610345679161,0.0334451672252801,0.0338646856036078,-0.00109149319363282,0.130013562329465,1,651.923353910446,6.4849853515625e-05
1008,1000,337,0.0105014345815314,0.0637380110069206,0.0636263391443228,-0.114425066992033,0.135427936155096,1,107.361414432526,4.91142272949219e-05
1009,2000,337,0.0477839470284839,0.046010207721549,0.0454175846538501,-0.0423960601057522,0.13796395416272,1,214.912657976151,6.103515625e-05
100,2000,34,0.0875908333835078,0.0472147388199703,0.0467170343452302,-0.00495005470363404,0.18013172147065,1,214.730842828751,5.19752502441406e-05
1010,4000,337,-0.0932236100302033,0.0339686037629172,0.0333478977088663,-0.159802073405521,-0.0266451466548856,0,469.626859426498,7.84397125244141e-05
1011,1000,338,0.0297300184210786,0.0678824547716628,0.0672522017434165,-0.10331959293138,0.162779629773538,1,108.215705156326,4.81605529785156e-05
1012,2000,338,-0.0523331846762117,0.046004203605277,0.0471744292646014,-0.142501423742555,0.0378350543901312,1,264.94401216507,4.72068786621094e-05
1013,4000,338,-0.0262230580809656,0.0333464406058066,0.0335176857776415,-0.0915820816683465,0.0391359655064153,1,465.331463813782,9.918212890625e-05
1014,1000,339,-0.00780194929477702,0.0660359059747278,0.0669412802599455,-0.137232325005243,0.121628426415689,1,200.648894786835,8.34465026855469e-05
1015,2000,339,0.00307461515565357,0.0472508470317556,0.046872868117134,-0.0895370450265873,0.0956862753378945,1,225.016321659088,5.7220458984375e-05
1016,4000,339,-0.0566617567056133,0.0341008838504184,0.0339390470178396,-0.123499489052433,0.0101759756412068,1,455.229939937592,7.03334808349609e-05
1017,1000,340,-0.0557455040147863,0.0682959960485973,0.0687535046990062,-0.189605656270037,0.0781146482404643,1,107.97807431221,0.000134706497192383
1018,2000,340,0.0167407886696473,0.0475369000596425,0.0461998050352646,-0.0764315354472519,0.109913112786547,1,295.491343736649,6.46114349365234e-05
1019,4000,340,0.0247322830277115,0.033245233104057,0.0336829023499026,-0.0404283738562402,0.0898929399116632,1,589.314105033875,7.98702239990234e-05
101,4000,34,-0.0395700416459602,0.0322099774812648,0.0331698057524032,-0.102701597509239,0.0235615142173188,1,476.497715234756,6.96182250976562e-05
1020,1000,341,0.063609123134954,0.0697203049106166,0.0696394396410524,-0.0730426744898545,0.200260920759763,1,95.9470887184143,5.88893890380859e-05
1021,2000,341,0.0586934971081672,0.0467913196168057,0.047497507230959,-0.033017489340772,0.150404483557107,1,295.138517379761,5.17368316650391e-05
1022,4000,341,-0.0509024561266849,0.0336316829588193,0.0330822828041393,-0.116820554725971,0.015015642472601,1,451.072559356689,0.000126838684082031
1023,1000,342,0.105754259931518,0.072025120045516,0.0679766714880013,-0.0354149753576935,0.246923495220729,1,232.845684528351,8.48770141601562e-05
1024,2000,342,-0.0285798015473595,0.0466963827034526,0.0457500174993674,-0.120104711646127,0.0629451085514076,1,303.995235681534,5.57899475097656e-05
1025,4000,342,-0.0444940559812487,0.0327950979303611,0.0332215814689235,-0.108772447924756,0.0197843359622591,1,743.920545578003,7.46250152587891e-05
1026,1000,343,0.0168197551712236,0.0671556894454147,0.0658066642404251,-0.114805396141789,0.148444906484236,1,157.49896478653,6.12735748291016e-05
1027,2000,343,0.0919476138665379,0.0463680098700151,0.047870138837306,0.00106631452130831,0.182828913211768,0,294.516748666763,5.340576171875e-05
1028,4000,343,-0.0185860056182608,0.0336379768462395,0.0331289162250337,-0.0845164402368901,0.0473444290003686,1,884.121214866638,8.86917114257812e-05
1029,1000,344,-0.057462788991289,0.0680883003286448,0.0686342412739763,-0.190915857635433,0.0759902796528547,1,136.645362138748,0.000105857849121094
102,1000,35,0.0386381519650966,0.0692017803898654,0.0680576152608105,-0.0969973375990397,0.174273641529233,1,111.710725069046,4.00543212890625e-05
